Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
243,Exit short,2024-06-13 12:25,n-s-tp2,21199.5,65,27683500,124143.5,0.45,124146.75,0.45,-13978.25,-0.05,2486091.5,24.86
243,Entry short,2024-06-13 11:35,NS,21295,65,27683500,124143.5,0.45,124146.75,0.45,-13978.25,-0.05,2486091.5,24.86
244,Exit long,2024-06-13 23:40,a-l-tp1,21339,199,84864545,64655.1,0.08,64665.05,0.08,-7969.95,-0.01,2550736.5,25.51
244,Entry long,2024-06-13 22:00,AL,21322.75,199,84864545,64655.1,0.08,64665.05,0.08,-7969.95,-0.01,2550736.5,25.51
245,Exit long,2024-06-14 02:50,a-l-be,21323.75,200,85291000,3980,0.00,120990,0.14,-8010,-0.01,2554726.5,25.55
245,Entry long,2024-06-13 22:00,AL,21322.75,200,85291000,3980,0.00,120990,0.14,-8010,-0.01,2554726.5,25.55
246,Exit long,2024-06-14 10:35,n-l-sl,21278.25,66,28137120,-49836.6,-0.18,38606.7,0.14,-49833.3,-0.18,2504886.5,25.05
246,Entry long,2024-06-14 10:00,NL,21316,66,28137120,-49836.6,-0.18,38606.7,0.14,-49833.3,-0.18,2504886.5,25.05
247,Exit long,2024-06-14 10:35,n-l-sl,21278.25,67,28563440,-50591.7,-0.18,39191.65,0.14,-50588.35,-0.18,2454298.2,24.54
247,Entry long,2024-06-14 10:00,NL,21316,67,28563440,-50591.7,-0.18,39191.65,0.14,-50588.35,-0.18,2454298.2,24.54
248,Exit short,2024-06-16 23:30,a-s-sl,21402.5,202,86415600,-50520.2,-0.06,9079.9,0.01,-50510.1,-0.06,2403767.8,24.04
248,Entry short,2024-06-16 21:30,AS,21390,202,86415600,-50520.2,-0.06,9079.9,0.01,-50510.1,-0.06,2403767.8,24.04
249,Exit short,2024-06-16 23:30,a-s-sl,21402.5,203,86843400,-50770.3,-0.06,9124.85,0.01,-50760.15,-0.06,2353007.8,23.53
249,Entry short,2024-06-16 21:30,AS,21390,203,86843400,-50770.3,-0.06,9124.85,0.01,-50760.15,-0.06,2353007.8,23.53
250,Exit short,2024-06-17 21:55,a-s-tp1,21594.5,196,84713160,62700.4,0.07,62710.2,0.07,-28429.8,-0.03,2415698.2,24.16
250,Entry short,2024-06-17 21:25,AS,21610.5,196,84713160,62700.4,0.07,62710.2,0.07,-28429.8,-0.03,2415698.2,24.16
251,Exit short,2024-06-17 22:05,a-s-be,21609.5,196,84713160,3900.4,0.00,64670.2,0.08,-28429.8,-0.03,2419608.5,24.20
251,Entry short,2024-06-17 21:25,AS,21610.5,196,84713160,3900.4,0.00,64670.2,0.08,-28429.8,-0.03,2419608.5,24.20
252,Exit short,2024-06-18 13:45,n-s-sl,21654.5,65,28100800,-50056.5,-0.18,15921.75,0.06,-50053.25,-0.18,2369548.8,23.70
252,Entry short,2024-06-18 11:45,NS,21616,65,28100800,-50056.5,-0.18,15921.75,0.06,-50053.25,-0.18,2369548.8,23.70
253,Exit short,2024-06-18 13:45,n-s-sl,21654.5,65,28100800,-50056.5,-0.18,15921.75,0.06,-50053.25,-0.18,2319495.5,23.19
253,Entry short,2024-06-18 11:45,NS,21616,65,28100800,-50056.5,-0.18,15921.75,0.06,-50053.25,-0.18,2319495.5,23.19
254,Exit long,2024-06-19 21:35,a-l-tp1,21701.5,202,87611440,62599.8,0.07,62609.9,0.07,-2030.1,0.00,2382085.2,23.82
254,Entry long,2024-06-19 21:10,AL,21686,202,87611440,62599.8,0.07,62609.9,0.07,-2030.1,0.00,2382085.2,23.82
255,Exit long,2024-06-19 23:45,a-l-tp2,21717,202,87611440,125219.8,0.14,125229.9,0.14,-2030.1,0.00,2507315,25.07
255,Entry long,2024-06-19 21:10,AL,21686,202,87611440,125219.8,0.14,125229.9,0.14,-2030.1,0.00,2507315,25.07
256,Exit short,2024-06-20 10:55,n-s-sl,21638.75,67,28946010,-49921.7,-0.17,8706.65,0.03,-49918.35,-0.17,2457390,24.57
256,Entry short,2024-06-20 10:25,NS,21601.5,67,28946010,-49921.7,-0.17,8706.65,0.03,-49918.35,-0.17,2457390,24.57
257,Exit short,2024-06-20 10:55,n-s-sl,21638.75,67,28946010,-49921.7,-0.17,8706.65,0.03,-49918.35,-0.17,2407471.8,24.07
257,Entry short,2024-06-20 10:25,NS,21601.5,67,28946010,-49921.7,-0.17,8706.65,0.03,-49918.35,-0.17,2407471.8,24.07
258,Exit short,2024-06-20 23:05,a-s-sl,21497.25,193,82929205,-50199.3,-0.06,0,0.00,-50189.65,-0.06,2357262.8,23.57
258,Entry short,2024-06-20 22:30,AS,21484.25,193,82929205,-50199.3,-0.06,0,0.00,-50189.65,-0.06,2357262.8,23.57
259,Exit short,2024-06-20 23:05,a-s-sl,21497.25,193,82929205,-50199.3,-0.06,0,0.00,-50189.65,-0.06,2307073,23.07
259,Entry short,2024-06-20 22:30,AS,21484.25,193,82929205,-50199.3,-0.06,0,0.00,-50189.65,-0.06,2307073,23.07
260,Exit short,2024-06-21 10:15,n-s-sl,21438.5,64,27391360,-49926.4,-0.18,19516.8,0.07,-49923.2,-0.18,2257143.5,22.57
260,Entry short,2024-06-21 10:00,NS,21399.5,64,27391360,-49926.4,-0.18,19516.8,0.07,-49923.2,-0.18,2257143.5,22.57
261,Exit short,2024-06-21 10:15,n-s-sl,21438.5,64,27391360,-49926.4,-0.18,19516.8,0.07,-49923.2,-0.18,2207220.2,22.07
261,Entry short,2024-06-21 10:00,NS,21399.5,64,27391360,-49926.4,-0.18,19516.8,0.07,-49923.2,-0.18,2207220.2,22.07
262,Exit short,2024-06-24 11:10,n-s-sl,21354.5,65,27711450,-49406.5,-0.18,3246.75,0.01,-49403.25,-0.18,2157810.5,21.58
262,Entry short,2024-06-24 10:55,NS,21316.5,65,27711450,-49406.5,-0.18,3246.75,0.01,-49403.25,-0.18,2157810.5,21.58
263,Exit short,2024-06-24 11:10,n-s-sl,21354.5,66,28137780,-50166.6,-0.18,3296.7,0.01,-50163.3,-0.18,2107647.2,21.08
263,Entry short,2024-06-24 10:55,NS,21316.5,66,28137780,-50166.6,-0.18,3296.7,0.01,-50163.3,-0.18,2107647.2,21.08
264,Exit short,2024-06-24 21:15,a-s-tp1,21181.25,195,82679025,72130.5,0.09,72140.25,0.09,-7809.75,-0.01,2179768,21.80
264,Entry short,2024-06-24 20:30,AS,21199.75,195,82679025,72130.5,0.09,72140.25,0.09,-7809.75,-0.01,2179768,21.80
265,Exit short,2024-06-24 21:35,a-s-be,21198.75,195,82679025,3880.5,0.00,81890.25,0.10,-7809.75,-0.01,2183658.2,21.84
265,Entry short,2024-06-24 20:30,AS,21199.75,195,82679025,3880.5,0.00,81890.25,0.10,-7809.75,-0.01,2183658.2,21.84
266,Exit long,2024-06-25 11:10,n-l-tp1,21351.5,65,27694225,62718.5,0.23,62721.75,0.23,-18528.25,-0.07,2246373.5,22.46
266,Entry long,2024-06-25 10:15,NL,21303.25,65,27694225,62718.5,0.23,62721.75,0.23,-18528.25,-0.07,2246373.5,22.46
267,Exit long,2024-06-25 12:00,n-l-tp2,21399.5,65,27694225,125118.5,0.45,125121.75,0.45,-18528.25,-0.07,2371495.2,23.71
267,Entry long,2024-06-25 10:15,NL,21303.25,65,27694225,125118.5,0.45,125121.75,0.45,-18528.25,-0.07,2371495.2,23.71
268,Exit long,2024-06-25 23:25,a-l-sl,21426,195,83612100,-50719.5,-0.06,965.25,0.00,-50709.75,-0.06,2320766,23.21
268,Entry long,2024-06-25 23:15,AL,21439,195,83612100,-50719.5,-0.06,965.25,0.00,-50709.75,-0.06,2320766,23.21
269,Exit long,2024-06-25 23:25,a-l-sl,21426,195,83612100,-50719.5,-0.06,965.25,0.00,-50709.75,-0.06,2270056.2,22.70
269,Entry long,2024-06-25 23:15,AL,21439,195,83612100,-50719.5,-0.06,965.25,0.00,-50709.75,-0.06,2270056.2,22.70
270,Exit long,2024-06-26 10:20,n-l-tp1,21458,65,27830400,64993.5,0.23,64996.75,0.23,-13978.25,-0.05,2335046.5,23.35
270,Entry long,2024-06-26 09:55,NL,21408,65,27830400,64993.5,0.23,64996.75,0.23,-13978.25,-0.05,2335046.5,23.35
271,Exit long,2024-06-26 10:25,n-l-be,21409,65,27830400,1293.5,0.00,67596.75,0.24,-13978.25,-0.05,2336343.2,23.36
271,Entry long,2024-06-26 09:55,NL,21408,65,27830400,1293.5,0.00,67596.75,0.24,-13978.25,-0.05,2336343.2,23.36
272,Exit short,2024-06-26 21:25,a-s-sl,21343.5,200,85324000,-50020,-0.06,5990,0.01,-50010,-0.06,2286313.2,22.86
272,Entry short,2024-06-26 20:55,AS,21331,200,85324000,-50020,-0.06,5990,0.01,-50010,-0.06,2286313.2,22.86
273,Exit short,2024-06-26 21:25,a-s-sl,21343.5,200,85324000,-50020,-0.06,5990,0.01,-50010,-0.06,2236303.2,22.36
273,Entry short,2024-06-26 20:55,AS,21331,200,85324000,-50020,-0.06,5990,0.01,-50010,-0.06,2236303.2,22.36
274,Exit long,2024-06-28 11:05,n-l-sl,21523,66,28459860,-49506.6,-0.17,22766.7,0.08,-49503.3,-0.17,2186793.2,21.87
274,Entry long,2024-06-28 10:55,NL,21560.5,66,28459860,-49506.6,-0.17,22766.7,0.08,-49503.3,-0.17,2186793.2,21.87
275,Exit long,2024-06-28 11:05,n-l-sl,21523,67,28891070,-50256.7,-0.17,23111.65,0.08,-50253.35,-0.17,2136540,21.37
275,Entry long,2024-06-28 10:55,NL,21560.5,67,28891070,-50256.7,-0.17,23111.65,0.08,-50253.35,-0.17,2136540,21.37
276,Exit short,2024-07-01 10:00,n-s-sl,21351.75,64,27294400,-35846.4,-0.13,0,0.00,-47363.2,-0.17,2100690.2,21.01
276,Entry short,2024-07-01 09:55,NS,21323.75,64,27294400,-35846.4,-0.13,0,0.00,-47363.2,-0.17,2100690.2,21.01
277,Exit short,2024-07-01 10:00,n-s-sl,21351.75,65,27720875,-36406.5,-0.13,0,0.00,-48103.25,-0.17,2064287,20.64
277,Entry short,2024-07-01 09:55,NS,21323.75,65,27720875,-36406.5,-0.13,0,0.00,-48103.25,-0.17,2064287,20.64
278,Exit short,2024-07-01 22:25,a-s-tp1,21416.5,193,82730415,62705.7,0.08,62715.35,0.08,-10624.65,-0.01,2126983,21.27
278,Entry short,2024-07-01 21:45,AS,21432.75,193,82730415,62705.7,0.08,62715.35,0.08,-10624.65,-0.01,2126983,21.27
279,Exit short,2024-07-01 22:45,a-s-tp2,21400.25,194,83159070,126080.6,0.15,126090.3,0.15,-10679.7,-0.01,2253073.2,22.53
279,Entry short,2024-07-01 21:45,AS,21432.75,194,83159070,126080.6,0.15,126090.3,0.15,-10679.7,-0.01,2253073.2,22.53
280,Exit long,2024-07-02 12:10,n-l-sl,21506.5,64,27577920,-49606.4,-0.18,60156.8,0.22,-49603.2,-0.18,2203463.8,22.03
280,Entry long,2024-07-02 11:10,NL,21545.25,64,27577920,-49606.4,-0.18,60156.8,0.22,-49603.2,-0.18,2203463.8,22.03
281,Exit long,2024-07-02 12:10,n-l-sl,21506.5,65,28008825,-50381.5,-0.18,61096.75,0.22,-50378.25,-0.18,2153085.5,21.53
281,Entry long,2024-07-02 11:10,NL,21545.25,65,28008825,-50381.5,-0.18,61096.75,0.22,-50378.25,-0.18,2153085.5,21.53
282,Exit long,2024-07-03 11:15,n-l-tp1,21782,62,26947990,61683.8,0.23,61686.9,0.23,-4653.1,-0.02,2214766,22.15
282,Entry long,2024-07-03 11:00,NL,21732.25,62,26947990,61683.8,0.23,61686.9,0.23,-4653.1,-0.02,2214766,22.15
283,Exit long,2024-07-03 12:00,n-l-tp2,21831.5,63,27382635,125048.7,0.46,125051.85,0.46,-4728.15,-0.02,2339818,23.40
283,Entry long,2024-07-03 11:00,NL,21732.25,63,27382635,125048.7,0.46,125051.85,0.46,-4728.15,-0.02,2339818,23.40
284,Exit long,2024-07-03 23:10,a-l-sl,21835.5,190,83015750,-40869,-0.05,0,0.00,-40859.5,-0.05,2298939.2,22.99
284,Entry long,2024-07-03 21:50,AL,21846.25,190,83015750,-40869,-0.05,0,0.00,-40859.5,-0.05,2298939.2,22.99
285,Exit long,2024-07-03 23:10,a-l-sl,21835.5,191,83452675,-41084.1,-0.05,0,0.00,-41074.55,-0.05,2257864.8,22.58
285,Entry long,2024-07-03 21:50,AL,21846.25,191,83452675,-41084.1,-0.05,0,0.00,-41074.55,-0.05,2257864.8,22.58
286,Exit long,2024-07-05 11:10,n-l-tp1,21993.5,63,27613215,98588.7,0.36,98591.85,0.36,-21423.15,-0.08,2356450.2,23.56
286,Entry long,2024-07-05 10:05,NL,21915.25,63,27613215,98588.7,0.36,98591.85,0.36,-21423.15,-0.08,2356450.2,23.56
287,Exit long,2024-07-05 11:55,n-l-tp2,22042.75,64,28051520,163193.6,0.58,163196.8,0.58,-21763.2,-0.08,2519647,25.20
287,Entry long,2024-07-05 10:05,NL,21915.25,64,28051520,163193.6,0.58,163196.8,0.58,-21763.2,-0.08,2519647,25.20
288,Exit long,2024-07-08 01:15,a-l-sl,22021.75,189,83292300,-50103.9,-0.06,11330.55,0.01,-50094.45,-0.06,2469533.8,24.70
288,Entry long,2024-07-07 22:30,AL,22035,189,83292300,-50103.9,-0.06,11330.55,0.01,-50094.45,-0.06,2469533.8,24.70
289,Exit long,2024-07-08 01:15,a-l-sl,22021.75,190,83733000,-50369,-0.06,11390.5,0.01,-50359.5,-0.06,2419174.2,24.19
289,Entry long,2024-07-07 22:30,AL,22035,190,83733000,-50369,-0.06,11390.5,0.01,-50359.5,-0.06,2419174.2,24.19
