Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
145,Exit short,2024-04-15 10:35,n-s-tp1,19888.5,29,11566505,31172.1,0.27,31173.55,0.27,-2176.45,-0.02,911731.44,18.23
145,Entry short,2024-04-15 10:15,NS,19942.25,29,11566505,31172.1,0.27,31173.55,0.27,-2176.45,-0.02,911731.44,18.23
146,Exit short,2024-04-15 12:20,n-s-tp2,19835,29,11566505,62202.1,0.54,62203.55,0.54,-2176.45,-0.02,973935,19.48
146,Entry short,2024-04-15 10:15,NS,19942.25,29,11566505,62202.1,0.54,62203.55,0.54,-2176.45,-0.02,973935,19.48
147,Exit short,2024-04-16 20:50,a-s-sl,19611.5,84,32922540,-24788.4,-0.08,0,0.00,-24784.2,-0.08,949142.4,18.98
147,Entry short,2024-04-16 20:45,AS,19596.75,84,32922540,-24788.4,-0.08,0,0.00,-24784.2,-0.08,949142.4,18.98
148,Exit short,2024-04-16 20:50,a-s-sl,19611.5,85,33314475,-25083.5,-0.08,0,0.00,-25079.25,-0.08,924063.1,18.48
148,Entry short,2024-04-16 20:45,AS,19596.75,85,33314475,-25083.5,-0.08,0,0.00,-25079.25,-0.08,924063.1,18.48
149,Exit short,2024-04-17 11:30,n-s-tp1,19448.75,28,10944500,53197.2,0.49,53198.6,0.49,-1.4,0.00,977258.9,19.55
149,Entry short,2024-04-17 11:00,NS,19543.75,28,10944500,53197.2,0.49,53198.6,0.49,-1.4,0.00,977258.9,19.55
150,Exit short,2024-04-17 12:05,n-s-tp2,19393.5,28,10944500,84137.2,0.77,84138.6,0.77,-1.4,0.00,1061397.5,21.23
150,Entry short,2024-04-17 11:00,NS,19543.75,28,10944500,84137.2,0.77,84138.6,0.77,-1.4,0.00,1061397.5,21.23
151,Exit short,2024-04-19 11:25,n-s-tp1,19019.5,28,10687600,36677.2,0.34,36678.6,0.34,-19041.4,-0.18,1098073.2,21.96
151,Entry short,2024-04-19 10:30,NS,19085,28,10687600,36677.2,0.34,36678.6,0.34,-19041.4,-0.18,1098073.2,21.96
152,Exit short,2024-04-19 12:05,n-s-tp2,18964,28,10687600,67757.2,0.63,67758.6,0.63,-19041.4,-0.18,1165831.9,23.32
152,Entry short,2024-04-19 10:30,NS,19085,28,10687600,67757.2,0.63,67758.6,0.63,-19041.4,-0.18,1165831.9,23.32
153,Exit short,2024-04-21 22:45,a-s-tp1,18932.75,81,30702240,31176.9,0.10,31180.95,0.10,-4054.05,-0.01,1197004.8,23.94
153,Entry short,2024-04-21 22:20,AS,18952,81,30702240,31176.9,0.10,31180.95,0.10,-4054.05,-0.01,1197004.8,23.94
154,Exit short,2024-04-22 00:30,a-s-be,18951,82,31081280,1631.8,0.01,32795.9,0.11,-4104.1,-0.01,1198640.6,23.97
154,Entry short,2024-04-21 22:20,AS,18952,82,31081280,1631.8,0.01,32795.9,0.11,-4104.1,-0.01,1198640.6,23.97
155,Exit short,2024-04-22 11:15,n-s-tp1,18856.5,27,10213560,31047.3,0.30,31048.65,0.30,-10666.35,-0.10,1229686.5,24.59
155,Entry short,2024-04-22 10:40,NS,18914,27,10213560,31047.3,0.30,31048.65,0.30,-10666.35,-0.10,1229686.5,24.59
156,Exit short,2024-04-22 11:30,n-s-be,18913,27,10213560,537.3,0.01,37123.65,0.36,-10666.35,-0.10,1230225.2,24.60
156,Entry short,2024-04-22 10:40,NS,18914,27,10213560,537.3,0.01,37123.65,0.36,-10666.35,-0.10,1230225.2,24.60
157,Exit long,2024-04-23 13:40,n-l-tp1,19319.75,27,10401615,31047.3,0.30,31048.65,0.30,-13096.35,-0.13,1261271.1,25.23
157,Entry long,2024-04-23 10:45,NL,19262.25,27,10401615,31047.3,0.30,31048.65,0.30,-13096.35,-0.13,1261271.1,25.23
158,Exit long,2024-04-23 15:50,ny-eod-flat,19305.75,27,10401615,23487.3,0.23,49543.65,0.48,-13096.35,-0.13,1284759.8,25.70
158,Entry long,2024-04-23 10:45,NL,19262.25,27,10401615,23487.3,0.23,49543.65,0.48,-13096.35,-0.13,1284759.8,25.70
159,Exit long,2024-04-23 23:00,a-l-tp1,19435.75,80,31066000,31192,0.10,31196,0.10,-18004,-0.06,1315947.8,26.32
159,Entry long,2024-04-23 21:30,AL,19416.25,80,31066000,31192,0.10,31196,0.10,-18004,-0.06,1315947.8,26.32
160,Exit long,2024-04-24 02:45,a-l-be,19417.25,80,31066000,1592,0.01,44796,0.14,-18004,-0.06,1317543.8,26.35
160,Entry long,2024-04-23 21:30,AL,19416.25,80,31066000,1592,0.01,44796,0.14,-18004,-0.06,1317543.8,26.35
161,Exit long,2024-04-25 10:40,n-l-sl,19055.75,26,9933300,-24312.6,-0.24,0,0.00,-24311.3,-0.24,1293229.9,25.86
161,Entry long,2024-04-25 10:30,NL,19102.5,26,9933300,-24312.6,-0.24,0,0.00,-24311.3,-0.24,1293229.9,25.86
